Class Title;Parent;Series;Class Description;Class Link;HLS URL;Categories
FCR Series Video 5 (Prep Work) Wall-Anchored Supermans;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Wall-Anchored Supermans (Video #5 in the Full Crab Reach series) is a drill emphasizing learning how to control the extension of your torso with full body tension.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of the Preparation Work section, which is designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up.</p> <p>Aim to complete 4-6 reps, for 2 to 3 total sets.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-5-wall-anchored-supermans;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/c2dabea695c84c839f3a2e262211f3c0/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 6 (Prep Work) Superman Eccentrics;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Superman Eccentrics (Video #6  in the Full Crab Reach series) are a progression of the wall-anchored superman to help increase range of motion in extension and develop strength through the range.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of the Preparation Work section, which is designed to help you warm up and prepare tissues for the demands on the Full Crab Reach. These are appropriate for all levels. No matter your movement level, be sure to always start your Full Crab Reach practice with these preparatory movements in sequence.  You can also use them individually or as a sequence within any flow practice warm up.</p> <p>Aim to complete 4-6 reps, for 2 to 3 total sets.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-6-superman-eccentrics;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d7e9d3a8a9fc4e94ae728bff28eec738/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 7 (Drills & Skills 1) Kneeling Arch Backs;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Kneeling Arch Backs (Video 7 in the Full Crab Reach series) is a drill to increase the challenge of pulling your upper body into and out of the extension needed for a bridge.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 1, which includes a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures.</p> <p>You can continue with these drills AFTER you have completed the Preparatory movements (Videos 2-6).  You can use these 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level.</p> <p>For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-7-kneeling-arch-backs;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d16363f8364948e79069b3b3c0415085/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 8 (Drills & Skills 1) Wall Lift Away;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Wall Lift Away (Video 8 in the Full Crab Reach series)  is a standing drill to further hone your ability to control the extension of your upper body.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 1, which includes a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures.</p> <p>You can continue with these drills AFTER you have completed the Preparatory movements (Videos 2-6).  You can use these 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level.</p> <p>For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-8-wall-lift-away;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/7b93bb087d4042e58ae098d94ede5df1/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 9 (Drills & Skills 1) Fallback to Tap;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Fall Back to Tap (Video 9 in the Full Crab Reach series) is a drill that incorporates learning how to rotate into and out of extension.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 1, which includes a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures.</p> <p>You can continue with these drills AFTER you have completed the Preparatory movements (Videos 2-6).  You can use these 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level.</p> <p>For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-9-fallback-to-tap;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/935d5e56c21741a28483970419e2b1f4/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 10 (Drills & Skills 1) Fallback with Rotation;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Fallback with Rotation (Video 10 in the Full Crab Reach series) is a drill that builds on the Fall Back to Tap, covering how to transfer load from one arm to the other through a full rotation.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 1, which includes a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures.</p> <p>You can continue with these drills AFTER you have completed the Preparatory movements (Videos 2-6).  You can use these 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level.</p> <p>For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-10-fallback-with-rotation;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d57affe42d144b1e811e4ba7d3a6ff99/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 11 (Drills & Skills 1) Kneeling Fallbacks with Taps;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Fallback with Rotation (Video 11 in the Full Crab Reach series) is a drill that utilizes the Fall Backs from a kneeling position to increase the demand on and use of mobility at the hips to progress closer to a bridge position.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 1, which includes a series of drills that focus on training the spine extension, rotation, and coordination required but in standing and kneeling postures.</p> <p>You can continue with these drills AFTER you have completed the Preparatory movements (Videos 2-6).  You can use these 5 drills as a partial sequence (the first 2, 3, or 4) or in full (all 5 in a row) based on your current level.</p> <p>For all of the drills, complete 4-6 repetitions (per side if it is a single-sided movement), for 3-4 sets. Be sure to stop your practice if you are noticing a reduction in quality of movement or comfort.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> <p>Disclaimer: You should understand that when participating in any exercise or exercise program, there is the possibility of physical injury. You should be in a physical condition that enables you to participate in the exercise. Consult with a physician if you have any medical conditions that might impact your ability to participate in a bodyweight training program. See our website for full disclaimer.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-11-kneeling-fallbacks-with-taps;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3d9f0c2d4da94b29935a8b0dbb285ce4/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 12 (Drills & Skills 2) Bridge and Press;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Bridge &amp; Press (Video 12 in the Full Crab Reach Series) is an exercise that will allow you to load the upper body in a bridge position while working through any remaining mobility limitations.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 2, which includes a series of drills that build the strength and coordination required for the Full movement.</p> <p>After beginning your Full Crab Reach practice with the Preparatory movements, and then continuing with a selection of drills from the previous Drills and Skills section, you can move into this last set of movements.  You can use these last 5 drills as a partial sequence (selecting the first 2 or 3) or in full (all 5) based on your current level.</p> <p>Hold for 10-40 seconds and repeat for 3-5 sets. Ensure you can achieve 40 seconds in each drill before moving on to introduce the last two drills.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-12-bridge-and-press;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/919f5b1e70564eea83d90774fee54304/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 13 (Drills & Skills 2) Bridge;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Bridge  (Video 13 in the Full Crab Reach Series) is where you learn how to properly press into and out of a bridge position.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 2, which includes a series of drills that build the strength and coordination required for the Full movement.</p> <p>After beginning your Full Crab Reach practice with the Preparatory movements, and then continuing with a selection of drills from the previous Drills and Skills section, you can move into this last set of movements.  You can use these last 5 drills as a partial sequence (selecting the first 2 or 3) or in full (all 5) based on your current level.</p> <p>Hold for 10-40 seconds and repeat for 3-5 sets. Ensure you can achieve 40 seconds in each drill before moving on to introduce the last two drills.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-13-bridge;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/d96f206881a14e19924a4268e40d5d8d/hls.m3u8;Full Crab Reach Tutorial Series
FCR Series Video 14 (Drills & Skills 2) Bridge Activations;Tutorials;Full Crab Reach;"<div class=""html_output""> <p>The Bridge Activations  (Video 14 in the Full Crab Reach Series) is a drill that helps to develop the ability to hold a bridge position with one arm at a time to help train the required strength for a Full Crab.</p> <p>The Full Crab Reach series includes 3 primary movement sections: Preparation Work; and Drills and Skills Parts 1 and 2.  This tutorial is part of Drills and Skills Part 2, which includes a series of drills that build the strength and coordination required for the Full movement.</p> <p>After beginning your Full Crab Reach practice with the Preparatory movements, and then continuing with a selection of drills from the previous Drills and Skills section, you can move into this last set of movements.  You can use these last 5 drills as a partial sequence (selecting the first 2 or 3) or in full (all 5) based on your current level.</p> <p>Hold for 10-40 seconds and repeat for 3-5 sets. Ensure you can achieve 40 seconds in each drill before moving on to introduce the last two drills.</p> <p>Animal Flow On Demand is intended for your personal use. If you are interested in teaching Animal Flow to others, in personal training or classes, you'll need to become a Certified Animal Flow Instructor by attending one of our workshops. If you'd like to further improve your individual skills by working one-on-one or taking a class with one of our Certified Instructors, check out our on-line directory to find one near you. See AnimalFlow.com for more information.</p> </div>";https://ondemand.animalflow.com/assets/fcr-tutorial-14-bridge-activations;https://d1y8hfkrra5zh9.cloudfront.net/2001/media/3391e137db51495f850cc8fb17b75bb2/hls.m3u8;Full Crab Reach Tutorial Series
