"tmdb","trakt","watched_at","season","episode","episode_title","show_title"
"63261","73843","2024-05-28T08:10:37.000Z","9","1","The Butter Shave","Seinfeld"
"5288787","11765477","2024-05-24T20:47:26.000Z","46","13","Friends Going to War","Survivor"
"1021616","1765617","2024-05-24T18:18:41.000Z","1","2","Pippi is a Scavenger and Goes to a Party","Pippi Longstocking"
"1747182","3436310","2024-05-24T12:12:24.000Z","3","5","Divine Secrets","The Story of God with Morgan Freeman"
"1747181","3433638","2024-05-23T20:06:13.000Z","3","4","Deadly Sins","The Story of God with Morgan Freeman"
"1733159","3419202","2024-05-21T19:17:02.000Z","3","3","Visions of God","The Story of God with Morgan Freeman"
"1012457","1765616","2024-05-21T18:03:04.000Z","1","1","Pippi Moves into Villa Villekulla","Pippi Longstocking"
"63199","73782","2024-05-18T10:37:19.000Z","6","10","The Race","Seinfeld"
"63232","73815","2024-05-18T06:32:10.000Z","7","19","The Wig Master","Seinfeld"
"63248","73830","2024-05-18T05:56:02.000Z","8","10","The Andrea Doria","Seinfeld"
"5288784","11765475","2024-05-16T10:55:05.000Z","46","12","Mamma Bear","Survivor"
"5288783","11765471","2024-05-10T09:09:34.000Z","46","11","My Messy, Sweet Little Friend","Survivor"
"5284990","11763561","2024-05-03T19:27:56.000Z","46","10","Run the Red Light","Survivor"
"5280003","11757204","2024-04-26T20:23:42.000Z","46","9","Spicy Jeff","Survivor"
"5280003","11757204","2024-04-26T20:23:40.000Z","46","9","Spicy Jeff","Survivor"
"1481222","2890445","2024-04-25T19:33:15.000Z","1","3","God and Art","Civilisations"
"975403","75860","2024-04-24T20:26:14.000Z","5","24","The Wedding (2)","Modern Family"
"975402","75859","2024-04-23T19:38:38.000Z","5","23","The Wedding (1)","Modern Family"
"1721807","3411179","2024-04-22T20:39:14.000Z","3","2","Gods Among Us","The Story of God with Morgan Freeman"
"3295449","5370453","2024-04-22T19:21:02.000Z","19","2","Lady Sapiens","Secrets of the Dead"
"5225484","11656939","2024-04-22T07:14:47.000Z","46","8","Hide 'N Seek","Survivor"
"1511841","2481207","2024-04-21T19:21:37.000Z","2","3","Proof of God","The Story of God with Morgan Freeman"
"1511841","2481207","2024-04-19T19:51:01.000Z","2","3","Proof of God","The Story of God with Morgan Freeman"
"63174","73757","2024-04-17T19:43:22.000Z","5","7","The Non-Fat Yogurt","Seinfeld"
"5225482","11656935","2024-04-13T19:57:12.000Z","46","7","Episode Several","Survivor"
"1259394","2469840","2024-04-07T19:38:11.000Z","2","2","Heaven and Hell","The Story of God with Morgan Freeman"
"1259393","2459984","2024-04-06T19:33:17.000Z","2","1","The Chosen One","The Story of God with Morgan Freeman"
"5203624","11612925","2024-04-04T20:37:58.000Z","46","6","Cancel Christmas","Survivor"
"975275","75858","2024-04-02T19:34:34.000Z","5","22","Message Received","Modern Family"
"5203623","11612924","2024-03-28T15:08:21.000Z","46","5","Tiki Man","Survivor"
"1189820","2198165","2024-03-27T20:42:17.000Z","1","5","Why Does Evil Exist?","The Story of God with Morgan Freeman"
"1191076","2198167","2024-03-26T22:17:12.000Z","1","6","The Power of Miracles","The Story of God with Morgan Freeman"
"1184564","2192634","2024-03-26T21:26:28.000Z","1","3","Who Is God?","The Story of God with Morgan Freeman"
"1184565","2193497","2024-03-23T21:54:44.000Z","1","4","Creation","The Story of God with Morgan Freeman"
"1184563","2192633","2024-03-23T21:04:23.000Z","1","2","Apocalypse","The Story of God with Morgan Freeman"
"87011","98141","2024-03-23T20:11:14.000Z","7","4","The One with Rachel's Assistant","Friends"
"1481223","2890448","2024-03-22T20:47:21.000Z","1","4","Encounters","Civilisations"
"5190821","11586374","2024-03-22T13:28:21.000Z","46","4","Don't Touch the Oven","Survivor"
"1481220","2890442","2024-03-21T19:41:41.000Z","1","2","How Do We Look?","Civilisations"
"5137387","11478899","2024-03-20T12:54:44.000Z","11","24","Episode 24","Australian Survivor"
"5137386","11478898","2024-03-19T20:01:20.000Z","11","23","Episode 23","Australian Survivor"
"5137385","11478897","2024-03-18T21:21:24.000Z","11","22","Episode 22","Australian Survivor"
"1452837","2890440","2024-03-16T20:09:40.000Z","1","1","Second Moment of Creation","Civilisations"
"1184562","2172941","2024-03-15T20:33:26.000Z","1","1","Beyond Death","The Story of God with Morgan Freeman"
"4918988","11049855","2024-03-14T21:07:27.000Z","46","3","Wackadoodles Win","Survivor"
"5137384","11478896","2024-03-13T20:30:53.000Z","11","21","Episode 21","Australian Survivor"
"5137383","11478895","2024-03-13T10:27:20.000Z","11","20","Episode 20","Australian Survivor"
"1078262","1888962","2024-03-11T19:56:53.000Z","6","3","Jim Carrey: We Love Breathing What You're Burning, Baby","Comedians in Cars Getting Coffee"
"1014617","1001606","2024-03-11T19:37:21.000Z","3","6","Jason Alexander: The Over-Cheer","Comedians in Cars Getting Coffee"
"995772","958867","2024-03-11T19:29:13.000Z","1","10","Michael Richards: It's Bubbly Time, Jerry","Comedians in Cars Getting Coffee"
"1014692","1001621","2024-03-11T18:46:55.000Z","4","5","Jon Stewart: The Sound of Virginity","Comedians in Cars Getting Coffee"
"5137383","11478895","2024-03-11T14:36:48.000Z","11","20","Episode 20","Australian Survivor"
"5137382","11478894","2024-03-11T10:19:09.000Z","11","19","Episode 19","Australian Survivor"
"2174883","3965632","2024-03-08T20:35:38.000Z","40","3","Out for Blood","Survivor"
"4918987","11049854","2024-03-07T20:46:42.000Z","46","2","Scorpio Energy","Survivor"
"5137381","11478893","2024-03-05T21:11:05.000Z","11","18","Episode 18","Australian Survivor"
"5137380","11478892","2024-03-05T11:55:25.000Z","11","17","Episode 17","Australian Survivor"
"5137379","11478891","2024-03-03T13:22:59.000Z","11","16","Episode 16","Australian Survivor"
"2169581","3811270","2024-03-03T10:43:45.000Z","40","2","It's Like a Survivor Economy","Survivor"
"2058366","3811269","2024-03-03T06:39:48.000Z","40","1","Greatest of the Greats","Survivor"
"4918712","11049853","2024-02-29T21:16:51.000Z","46","1","This Is Where the Legends Are Made","Survivor"
"63274","73856","2024-02-28T21:52:15.000Z","9","14","The Strong Box","Seinfeld"
"5137378","11478890","2024-02-28T14:02:46.000Z","11","15","Master and Apprentice","Australian Survivor"
"5137377","11478889","2024-02-27T12:10:30.000Z","11","14","A Line in the Sand","Australian Survivor"
"5137376","11478888","2024-02-27T09:57:24.000Z","11","13","Revenge Is a Dish Best Served Russian","Australian Survivor"
"5137375","11478887","2024-02-25T20:09:48.000Z","11","12","To Infinity and Beyond","Australian Survivor"
"5137375","11478887","2024-02-25T11:20:29.000Z","11","12","To Infinity and Beyond","Australian Survivor"
"5137374","11478886","2024-02-24T22:33:49.000Z","11","11","It's Not Sarong, It's So Right","Australian Survivor"
"5137373","11478885","2024-02-23T21:39:02.000Z","11","10","Bad Hair Day","Australian Survivor"
"974710","75857","2024-02-18T19:55:34.000Z","5","21","Sleeper","Modern Family"
"2512213","4484686","2024-02-17T21:13:57.000Z","1","3","Episode 3","L’Odyssée de l'écriture"
"4765443","10919380","2024-02-16T08:38:48.000Z","4","4","Night Country: Part 4","True Detective"
"5133107","11466922","2024-02-15T21:53:10.000Z","11","9","Excited for the Actions","Australian Survivor"
"5133105","11466921","2024-02-15T20:29:53.000Z","11","8","The Divorce","Australian Survivor"
"5125173","11450288","2024-02-15T16:08:41.000Z","11","7","Get, Or Get Got","Australian Survivor"
"974401","75856","2024-02-12T20:26:37.000Z","5","20","Australia","Modern Family"
"973689","75855","2024-02-12T19:56:18.000Z","5","19","A Hard Jay's Night","Modern Family"
"787544","794833","2024-02-12T18:59:07.000Z","1","6","Episode 6","Survivor South Africa"
"787542","794832","2024-02-11T11:42:21.000Z","1","5","Episode 5","Survivor South Africa"
"2512208","4467897","2024-02-10T22:22:16.000Z","1","2","Episode 2","L’Odyssée de l'écriture"
"2512203","4467896","2024-02-10T21:15:50.000Z","1","1","Episode 1","L’Odyssée de l'écriture"
"973254","75854","2024-02-10T19:18:00.000Z","5","18","Las Vegas","Modern Family"
"972716","75853","2024-02-09T19:49:14.000Z","5","17","Other People's Children","Modern Family"
"972715","75852","2024-02-09T19:20:31.000Z","5","16","Spring-a-Ding-Fling","Modern Family"
"5108767","11384831","2024-02-08T20:29:16.000Z","11","6","The Saboteur","Australian Survivor"
"5105759","11372255","2024-02-07T21:39:33.000Z","11","5","Where Angels Fear to Tread","Australian Survivor"
"972133","75851","2024-02-06T20:05:33.000Z","5","15","The Feud","Modern Family"
"5105758","11372254","2024-02-05T20:12:26.000Z","11","4","B Is for Blindside","Australian Survivor"
"971271","75850","2024-02-04T20:14:38.000Z","5","14","iSpy","Modern Family"
"970785","75849","2024-02-04T19:29:32.000Z","5","13","Three Dinners","Modern Family"
"170163","182051","2024-02-02T11:07:50.000Z","3","7","Branch Closing","The Office"
"970372","75848","2024-02-01T20:23:23.000Z","5","12","Under Pressure","Modern Family"
"5105757","11372252","2024-02-01T20:00:12.000Z","11","3","The Cuddle Club","Australian Survivor"
"5105756","11372250","2024-01-31T20:59:54.000Z","11","2","The Invisible Hand","Australian Survivor"
"5069925","11325907","2024-01-30T15:28:29.000Z","11","1","We've All Seen This Movie","Australian Survivor"
"5069925","11325907","2024-01-30T12:49:48.000Z","11","1","We've All Seen This Movie","Australian Survivor"
"970226","75847","2024-01-29T20:57:46.000Z","5","11","And One to Grow On","Modern Family"
"4765289","10919379","2024-01-29T10:56:39.000Z","4","3","Night Country: Part 3","True Detective"
"969007","75846","2024-01-28T19:55:20.000Z","5","10","The Old Man & the Tree","Modern Family"
"4765288","10919378","2024-01-28T10:07:05.000Z","4","2","Night Country: Part 2","True Detective"
"4765287","10919377","2024-01-28T06:38:48.000Z","4","1","Night Country: Part 1","True Detective"
"968626","75845","2024-01-26T19:59:39.000Z","5","9","The Big Game","Modern Family"
"966306","75844","2024-01-25T20:11:28.000Z","5","8","ClosetCon '13","Modern Family"
"966305","75843","2024-01-24T19:52:10.000Z","5","7","A Fair to Remember","Modern Family"
"966304","75842","2024-01-24T13:33:39.000Z","5","6","The Help","Modern Family"
"65054","75841","2024-01-23T20:09:02.000Z","5","5","The Late Show","Modern Family"
"65053","75840","2024-01-22T20:28:27.000Z","5","4","Farm Strong","Modern Family"
"65052","75839","2024-01-21T19:52:46.000Z","5","3","Larry's Wife","Modern Family"
"65051","75838","2024-01-20T20:17:41.000Z","5","2","First Days","Modern Family"
"170143","182028","2024-01-19T21:07:06.000Z","2","6","The Fight","The Office"
"65050","75837","2024-01-19T13:32:20.000Z","5","1","Suddenly, Last Summer","Modern Family"
"65040","75836","2024-01-19T08:38:57.000Z","4","24","Goodnight, Gracie","Modern Family"
"65049","75835","2024-01-18T20:59:44.000Z","4","23","Games People Play","Modern Family"
"65047","75834","2024-01-18T20:36:52.000Z","4","22","My Hero","Modern Family"
"65046","75833","2024-01-18T12:08:21.000Z","4","21","Career Day","Modern Family"
"65044","75832","2024-01-17T19:50:01.000Z","4","20","Flip Flop","Modern Family"
"65045","75831","2024-01-17T12:58:49.000Z","4","19","The Future Dunphys","Modern Family"
"170159","182047","2024-01-17T12:36:40.000Z","3","3","The Coup","The Office"
"170158","182045","2024-01-17T08:52:49.000Z","3","1","Gay Witch Hunt","The Office"
"170138","182029","2024-01-16T20:52:26.000Z","2","7","The Client","The Office"
"65043","75830","2024-01-15T21:10:03.000Z","4","18","The Wow Factor","Modern Family"
"170220","182105","2024-01-15T20:46:36.000Z","5","19","Two Weeks","The Office"
"65041","75829","2024-01-14T19:56:51.000Z","4","17","Best Men","Modern Family"
"170203","182120","2024-01-14T19:08:53.000Z","6","7","Koi Pond","The Office"
"170202","182119","2024-01-14T18:35:38.000Z","6","6","The Lover","The Office"
"787541","794831","2024-01-14T16:32:47.000Z","1","4","Episode 4","Survivor South Africa"
"1244489","2374211","2024-01-14T10:02:36.000Z","1","6","Cities","Planet Earth II"
"1976151","6011752","2024-01-14T08:57:49.000Z","1","1","Coasts","Prehistoric Planet"
"65042","75828","2024-01-13T20:41:08.000Z","4","16","Bad Hair Day","Modern Family"
"787540","794830","2024-01-13T14:44:39.000Z","1","3","Episode 3","Survivor South Africa"
"65048","75827","2024-01-11T20:59:01.000Z","4","15","Heart Broken","Modern Family"
"170236","182084","2024-01-11T14:17:10.000Z","4","13","Job Fair","The Office"
"170242","182081","2024-01-11T13:46:07.000Z","4","10","Chair Model","The Office"
"170200","182121","2024-01-11T11:30:34.000Z","6","8","Double Date","The Office"
"787539","794829","2024-01-09T08:02:14.000Z","1","2","Episode 2","Survivor South Africa"
"65038","75826","2024-01-08T19:56:07.000Z","4","14","A Slight at the Opera","Modern Family"
"65039","75825","2024-01-03T20:56:23.000Z","4","13","Fulgencio","Modern Family"
"65037","75824","2024-01-02T20:35:00.000Z","4","12","Party Crasher","Modern Family"
"787538","794828","2024-01-02T18:43:28.000Z","1","1","Episode 1","Survivor South Africa"
"65036","75823","2024-01-01T19:44:07.000Z","4","11","New Year's Eve","Modern Family"
"65035","75822","2023-12-31T20:28:11.000Z","4","10","Diamond in the Rough","Modern Family"
"65033","75821","2023-12-30T20:25:35.000Z","4","9","When a Tree Falls","Modern Family"
"65034","75820","2023-12-29T20:54:51.000Z","4","8","Mistery Date","Modern Family"
"65032","75819","2023-12-28T20:29:53.000Z","4","7","Arrested","Modern Family"
"65031","75818","2023-12-28T19:43:45.000Z","4","6","Yard Sale","Modern Family"
"65030","75817","2023-12-27T21:04:38.000Z","4","5","Open House of Horrors","Modern Family"
"65029","75816","2023-12-26T20:35:29.000Z","4","4","The Butler's Escape","Modern Family"
"65027","75815","2023-12-26T13:20:55.000Z","4","3","Snip","Modern Family"
"65028","75814","2023-12-25T20:09:53.000Z","4","2","Schooled","Modern Family"
"65026","75813","2023-12-25T19:44:13.000Z","4","1","Bringing Up Baby","Modern Family"
"65023","75812","2023-12-23T20:29:04.000Z","3","24","Baby on Board","Modern Family"
"4922164","11052722","2023-12-23T20:03:47.000Z","45","13","Living the Survivor Dream","Survivor"
"4922163","11052721","2023-12-22T20:19:00.000Z","45","12","The Ex-Girlfriend at the Wedding","Survivor"
"65022","75811","2023-12-21T20:09:33.000Z","3","23","Tableau Vivant","Modern Family"
"3608066","6011755","2023-12-21T18:20:04.000Z","1","4","Ice Worlds","Prehistoric Planet"
"3608065","6011754","2023-12-21T17:39:43.000Z","1","3","Freshwater","Prehistoric Planet"
"65021","75810","2023-12-20T20:15:17.000Z","3","22","Disneyland","Modern Family"
"4857851","11005799","2023-12-19T20:41:13.000Z","45","11","This Game Rips Your Heart Out","Survivor"
"4957205","11134410","2023-12-19T19:34:30.000Z","1","15","The Finals - Part 1","Survivor"
"65019","75809","2023-12-17T20:20:34.000Z","3","21","Planes, Trains and Cars","Modern Family"
"4857850","11005798","2023-12-17T14:05:20.000Z","45","10","How Am I the Mobster?","Survivor"
"4857848","11005797","2023-12-17T14:04:57.000Z","45","9","Sword of Damocles","Survivor"
"4941249","11088838","2023-12-17T10:15:58.000Z","1","14","Episode 14","Survivor"
"4941248","11088836","2023-12-16T21:45:51.000Z","1","13","Episode 13","Survivor"
"4927702","11056839","2023-12-16T20:35:22.000Z","1","12","Episode 12","Survivor"
"4042918","7319740","2023-12-16T15:55:26.000Z","1","5","Ocean","Wild Isles"
"4927700","11056837","2023-12-15T20:32:46.000Z","1","11","Episode 11","Survivor"
"4913439","11046006","2023-12-15T08:53:18.000Z","1","10","Episode 10","Survivor"
"4913438","11046005","2023-12-15T07:07:23.000Z","1","9","Episode 9","Survivor"
"4877702","11016602","2023-12-14T22:53:48.000Z","1","8","Episode 8","Survivor"
"65020","75808","2023-12-13T20:30:14.000Z","3","20","The Last Walt","Modern Family"
"65018","75807","2023-12-13T20:04:48.000Z","3","19","Election Day","Modern Family"
"65017","75806","2023-12-12T20:29:39.000Z","3","18","Send Out the Clowns","Modern Family"
"65016","75805","2023-12-12T20:06:56.000Z","3","17","Leap Day","Modern Family"
"4877701","11016601","2023-12-12T08:25:00.000Z","1","7","Episode 7","Survivor"
"65014","75804","2023-12-11T20:44:04.000Z","3","16","Virgin Territory","Modern Family"
"65015","75803","2023-12-11T20:20:14.000Z","3","15","Aunt Mommy","Modern Family"
"4877700","11016600","2023-12-11T07:44:54.000Z","1","6","Episode 6","Survivor"
"65013","75802","2023-12-10T21:01:47.000Z","3","14","Me? Jealous?","Modern Family"
"65012","75801","2023-12-10T20:36:55.000Z","3","13","Little Bo Bleep","Modern Family"
"65011","75800","2023-12-10T20:12:55.000Z","3","12","Egg Drop","Modern Family"
"65010","75799","2023-12-10T19:51:02.000Z","3","11","Lifetime Supply","Modern Family"
"4877699","11016599","2023-12-08T15:06:16.000Z","1","5","Episode 5","Survivor"
"4877699","11016599","2023-12-08T13:44:08.000Z","1","5","Episode 5","Survivor"
"4854730","11001757","2023-12-08T12:55:02.000Z","1","4","Episode 4","Survivor"
"4826834","10979812","2023-12-07T20:57:00.000Z","1","1","Episode 1","Survivor"
"4854729","11001756","2023-12-07T13:47:33.000Z","1","3","Episode 3","Survivor"
"4826835","10979813","2023-12-06T22:12:30.000Z","1","2","Episode 2","Survivor"
"65009","75798","2023-12-05T20:17:58.000Z","3","10","Express Christmas","Modern Family"
"65008","75797","2023-11-27T20:02:23.000Z","3","9","Punkin Chunkin","Modern Family"
"65007","75796","2023-11-22T21:35:52.000Z","3","8","After the Fire","Modern Family"
"65006","75795","2023-11-22T20:47:39.000Z","3","7","Treehouse","Modern Family"
"65005","75794","2023-11-22T13:19:46.000Z","3","6","Go Bullfrogs!","Modern Family"
"65003","75793","2023-11-21T20:32:43.000Z","3","5","Hit and Run","Modern Family"
"65004","75792","2023-11-21T20:06:52.000Z","3","4","Door to Door","Modern Family"
"65002","75791","2023-11-20T20:16:12.000Z","3","3","Phil on Wire","Modern Family"
"65000","75790","2023-11-20T19:54:01.000Z","3","2","When Good Kids Go Bad","Modern Family"
"65001","75789","2023-11-19T20:41:31.000Z","3","1","Dude Ranch","Modern Family"
"4857846","11005796","2023-11-17T20:28:38.000Z","45","8","Following a Dead Horse to Water","Survivor"
"64999","75788","2023-11-16T20:58:20.000Z","2","24","The One That Got Away","Modern Family"
"64998","75787","2023-11-16T20:27:31.000Z","2","23","See You Next Fall","Modern Family"
"64997","75786","2023-11-16T19:44:13.000Z","2","22","Good Cop, Bad Dog","Modern Family"
"64995","75785","2023-11-15T20:14:03.000Z","2","21","Mother's Day","Modern Family"
"64993","75784","2023-11-15T19:49:29.000Z","2","20","Someone to Watch Over Lily","Modern Family"
"64996","75783","2023-11-13T20:09:11.000Z","2","19","The Musical Man","Modern Family"
"64994","75782","2023-11-13T19:35:37.000Z","2","18","Boys' Night","Modern Family"
"64991","75781","2023-11-12T20:05:00.000Z","2","17","Two Monkeys and a Panda","Modern Family"
"64992","75780","2023-11-11T20:52:11.000Z","2","16","Regrets Only","Modern Family"
"4855507","11001828","2023-11-10T14:57:23.000Z","45","7","The Thorn in My Thumb","Survivor"
"64989","75779","2023-11-08T20:11:21.000Z","2","15","Princess Party","Modern Family"
"64990","75778","2023-11-08T14:04:39.000Z","2","14","Bixby's Back","Modern Family"
"64988","75777","2023-11-07T20:37:03.000Z","2","13","Caught in the Act","Modern Family"
"64986","75776","2023-11-07T20:13:04.000Z","2","12","Our Children, Ourselves","Modern Family"
"64987","75775","2023-11-06T20:32:28.000Z","2","11","Slow Down Your Neighbors","Modern Family"
"64985","75774","2023-11-06T20:04:44.000Z","2","10","Dance Dance Revelation","Modern Family"
"64983","75773","2023-11-06T11:49:15.000Z","2","9","Mother Tucker","Modern Family"
"2277123","3399509","2023-11-06T06:35:02.000Z","32","9","Compression & Extension Springs; Micro Drill Bits; Skiffs; Painted Glass Backsplashes","How It's Made"
"2277123","3399509","2023-11-05T13:18:10.000Z","32","9","Compression & Extension Springs; Micro Drill Bits; Skiffs; Painted Glass Backsplashes","How It's Made"
"4826337","10986217","2023-11-04T15:13:52.000Z","45","6","I'm Not Batman, I'm the Canadian","Survivor"
"2277119","3372745","2023-11-04T06:12:07.000Z","32","5","Hand Forged Hammers; Gummy Vitamins; Boat Trailers; Tea Lights & Jar Candles","How It's Made"
"2277119","3372745","2023-11-03T17:53:03.000Z","32","5","Hand Forged Hammers; Gummy Vitamins; Boat Trailers; Tea Lights & Jar Candles","How It's Made"
"4809196","10962420","2023-10-27T19:54:56.000Z","45","5","I Don't Want to Be the Worm","Survivor"
"64984","75772","2023-10-25T19:54:50.000Z","2","8","Manny Get Your Gun","Modern Family"
"64981","75771","2023-10-24T19:55:49.000Z","2","7","Chirp","Modern Family"
"64982","75770","2023-10-23T18:57:41.000Z","2","6","Halloween","Modern Family"
"4826986","10987948","2023-10-21T09:43:10.000Z","9","9","A Shot in the Dark","The Murder Tapes"
"64980","75769","2023-10-20T19:40:58.000Z","2","5","Unplugged","Modern Family"
"4795424","10941272","2023-10-19T12:23:00.000Z","45","4","Music to My Ears","Survivor"
"4782663","10933041","2023-10-19T07:44:23.000Z","45","3","No Man Left Behind","Survivor"
"64977","75768","2023-10-15T19:28:15.000Z","2","4","Strangers on a Treadmill","Modern Family"
"64979","75767","2023-10-14T19:50:20.000Z","2","3","Earthquake","Modern Family"
"64978","75766","2023-10-14T19:25:50.000Z","2","2","The Kiss","Modern Family"
"64976","75765","2023-10-12T19:14:31.000Z","2","1","The Old Wagon","Modern Family"
"64963","75764","2023-10-12T18:47:19.000Z","1","24","Family Portrait","Modern Family"
"4809494","10962960","2023-10-12T07:45:08.000Z","9","8","Three Days, Six Murders","The Murder Tapes"
"64962","75763","2023-10-11T19:25:42.000Z","1","23","Hawaii","Modern Family"
"64959","75762","2023-10-11T18:55:37.000Z","1","22","Airport 2010","Modern Family"
"64955","75761","2023-10-10T18:51:32.000Z","1","21","Travels with Scout","Modern Family"
"64964","75760","2023-10-10T18:27:56.000Z","1","20","Benched","Modern Family"
"4789476","10936116","2023-10-10T09:20:51.000Z","9","7","For Love or Money","The Murder Tapes"
"64956","75759","2023-10-09T19:30:12.000Z","1","19","Game Changer","Modern Family"
"64952","75758","2023-10-09T19:04:50.000Z","1","18","Starry Night","Modern Family"
"64960","75757","2023-10-08T18:45:56.000Z","1","17","Truth Be Told","Modern Family"
"64961","75756","2023-10-07T19:39:41.000Z","1","16","Fears","Modern Family"
"64957","75755","2023-10-07T19:05:52.000Z","1","15","My Funky Valentine","Modern Family"
"64973","75754","2023-10-07T15:32:31.000Z","1","14","Moon Landing","Modern Family"
"64974","75753","2023-10-07T15:05:23.000Z","1","13","Fifteen Percent","Modern Family"
"4756890","10915000","2023-10-06T08:59:10.000Z","45","2","Brought a Bazooka to a Tea Party","Survivor"
"64972","75752","2023-10-05T11:37:18.000Z","1","12","Not In My House","Modern Family"
"64971","75751","2023-10-04T19:29:16.000Z","1","11","Up All Night","Modern Family"
"64958","75750","2023-10-04T13:19:50.000Z","1","10","Undeck the Halls","Modern Family"
"64975","75749","2023-10-04T10:02:34.000Z","1","9","Fizbo","Modern Family"
"1864438","3643762","2023-10-04T07:08:19.000Z","2","2","Vaulter","Succession"
